task_id,field,A_value,B_value,delta,A_source_function,B_source_function
Q2-001,relay_energy,0.06557231014409345,0.06557231014409345,0.0,eval_A,eval_B
Q2-001,transport_energy,2.9263177459975083,2.9263177459975083,0.0,eval_A,eval_B
Q2-001,total_energy,2.9918900561416018,2.9918900561416018,0.0,eval_A,eval_B
Q2-002,relay_energy,0.06557231014409345,0.06557231014409345,0.0,eval_A,eval_B
Q2-002,transport_energy,3.004744020262608,3.004744020262608,0.0,eval_A,eval_B
Q2-002,total_energy,3.0703163304067016,3.0703163304067016,0.0,eval_A,eval_B
Q2-003,relay_energy,0.158610621870195,0.158610621870195,0.0,eval_A,eval_B
Q2-003,transport_energy,2.368728646438021,2.368728646438021,0.0,eval_A,eval_B
Q2-003,total_energy,2.5273392683082156,2.5273392683082156,0.0,eval_A,eval_B
Q2-004,relay_energy,0.158610621870195,0.158610621870195,0.0,eval_A,eval_B
Q2-004,transport_energy,6.300962619023563,6.300962619023563,0.0,eval_A,eval_B
Q2-004,total_energy,6.459573240893758,6.459573240893758,0.0,eval_A,eval_B
Q2-005,relay_energy,0.1551090793163087,0.1551090793163087,0.0,eval_A,eval_B
Q2-005,transport_energy,2.423671474747147,2.423671474747147,0.0,eval_A,eval_B
Q2-005,total_energy,2.5787805540634556,2.5787805540634556,0.0,eval_A,eval_B
Q2-006,relay_energy,0.1551090793163087,0.1551090793163087,0.0,eval_A,eval_B
Q2-006,transport_energy,6.322851263069863,6.322851263069863,0.0,eval_A,eval_B
Q2-006,total_energy,6.477960342386171,6.477960342386171,0.0,eval_A,eval_B
Q2-007,relay_energy,0.16512771606684626,0.16512771606684626,0.0,eval_A,eval_B
Q2-007,transport_energy,6.176933464710716,6.176933464710716,0.0,eval_A,eval_B
Q2-007,total_energy,6.342061180777562,6.342061180777562,0.0,eval_A,eval_B
Q2-008,relay_energy,0.11299911857110884,0.11299911857110884,0.0,eval_A,eval_B
Q2-008,transport_energy,4.238781800099432,4.238781800099432,0.0,eval_A,eval_B
Q2-008,total_energy,4.351780918670541,4.351780918670541,0.0,eval_A,eval_B
Q2-009,relay_energy,0.06812641443628868,0.06812641443628868,0.0,eval_A,eval_B
Q2-009,transport_energy,2.59397203090111,2.59397203090111,0.0,eval_A,eval_B
Q2-009,total_energy,2.662098445337399,2.662098445337399,0.0,eval_A,eval_B
Q2-010,relay_energy,0.09708172331716529,0.09708172331716529,0.0,eval_A,eval_B
Q2-010,transport_energy,3.410630658987098,3.410630658987098,0.0,eval_A,eval_B
Q2-010,total_energy,3.5077123823042635,3.5077123823042635,0.0,eval_A,eval_B
Q2-011,relay_energy,0.17282471272003955,0.17282471272003957,2.7755575615628914e-17,eval_A,eval_B
Q2-011,transport_energy,5.857575815082559,5.857575815082559,0.0,eval_A,eval_B
Q2-011,total_energy,6.030400527802599,6.030400527802599,0.0,eval_A,eval_B
Q2-012,relay_energy,0.12197778716636368,0.12197778716636368,0.0,eval_A,eval_B
Q2-012,transport_energy,2.1025167724731757,2.1025167724731757,0.0,eval_A,eval_B
Q2-012,total_energy,2.2244945596395396,2.2244945596395396,0.0,eval_A,eval_B
Q2-013,relay_energy,0.10213842651640949,0.10213842651640948,-1.3877787807814457e-17,eval_A,eval_B
Q2-013,transport_energy,1.8211113403975845,1.8211113403975845,0.0,eval_A,eval_B
Q2-013,total_energy,1.923249766913994,1.9232497669139939,-2.220446049250313e-16,eval_A,eval_B
Q2-014,relay_energy,0.060131309099578555,0.060131309099578555,0.0,eval_A,eval_B
Q2-014,transport_energy,1.0771852988708592,1.0771852988708592,0.0,eval_A,eval_B
Q2-014,total_energy,1.1373166079704378,1.1373166079704378,0.0,eval_A,eval_B
Q2-015,relay_energy,0.15784440746384099,0.15784440746384099,0.0,eval_A,eval_B
Q2-015,transport_energy,2.7554719231198046,2.7554719231198046,0.0,eval_A,eval_B
Q2-015,total_energy,2.913316330583646,2.913316330583646,0.0,eval_A,eval_B
Q2-016,relay_energy,0.10352687916300343,0.10352687916300345,1.3877787807814457e-17,eval_A,eval_B
Q2-016,transport_energy,1.8246747161043195,1.8246747161043195,0.0,eval_A,eval_B
Q2-016,total_energy,1.928201595267323,1.928201595267323,0.0,eval_A,eval_B
Q2-017,relay_energy,0.11588705183998986,0.11588705183998986,0.0,eval_A,eval_B
Q2-017,transport_energy,2.13728360269695,2.13728360269695,0.0,eval_A,eval_B
Q2-017,total_energy,2.25317065453694,2.25317065453694,0.0,eval_A,eval_B
Q2-018,relay_energy,0.12881970389223898,0.12881970389223898,0.0,eval_A,eval_B
Q2-018,transport_energy,2.3110443273275134,2.3110443273275134,0.0,eval_A,eval_B
Q2-018,total_energy,2.4398640312197526,2.4398640312197526,0.0,eval_A,eval_B
