box_id,sortie,service,completion_s,hard_deadline_s,hard_violation,soft_deadline_s,soft_late,soft_lateness_s
S001-MED-01,SENS22-001,S001,984.9016197465805,3600.0,False,,False,0.0
S001-MED-02,SENS22-001,S001,984.9016197465805,3600.0,False,,False,0.0
S001-WAT-01,SENS22-001,S001,984.9016197465805,3600.0,False,3600.0,False,0.0
S002-MED-01,SENS22-002,S002,1488.930586707283,3600.0,False,,False,0.0
S002-WAT-01,SENS22-002,S002,1488.930586707283,3600.0,False,3600.0,False,0.0
S002-WAT-02,SENS22-002,S002,1488.930586707283,,False,3600.0,False,0.0
S002-WAT-03,SENS22-002,S002,1488.930586707283,,False,3600.0,False,0.0
S002-WAT-04,SENS22-002,S002,1488.930586707283,,False,3600.0,False,0.0
S002-FOD-01,SENS22-002,S002,1488.930586707283,,False,7200.0,False,0.0
S006-MED-01,SENS22-003,S006,2308.5095578531445,3600.0,False,,False,0.0
S006-WAT-01,SENS22-003,S006,2308.5095578531445,3600.0,False,3600.0,False,0.0
S006-WAT-02,SENS22-003,S006,2308.5095578531445,,False,3600.0,False,0.0
S007-MED-01,SENS22-004,S007,3458.7594931080507,3600.0,False,,False,0.0
S007-WAT-01,SENS22-004,S007,3458.7594931080507,3600.0,False,3600.0,False,0.0
S007-WAT-02,SENS22-004,S007,3458.7594931080507,,False,3600.0,False,0.0
S007-FOD-01,SENS22-004,S007,3458.7594931080507,,False,7200.0,False,0.0
S007-HYG-01,SENS22-004,S007,3458.7594931080507,,False,10800.0,False,0.0
S010-MED-01,SENS22-005,S010,1084.8348215935089,3600.0,False,,False,0.0
S010-WAT-01,SENS22-005,S010,1084.8348215935089,3600.0,False,3600.0,False,0.0
S010-FOD-01,SENS22-005,S010,1084.8348215935089,,False,7200.0,False,0.0
S012-MED-01,SENS22-006,S012,1271.8746695035416,3600.0,False,,False,0.0
S012-WAT-01,SENS22-006,S012,1271.8746695035416,3600.0,False,3600.0,False,0.0
S012-FOD-01,SENS22-006,S012,1271.8746695035416,,False,7200.0,False,0.0
S013-MED-01,SENS22-007,S013,2617.349918549454,3600.0,False,,False,0.0
S013-WAT-01,SENS22-007,S013,2617.349918549454,3600.0,False,3600.0,False,0.0
S013-FOD-01,SENS22-007,S013,2617.349918549454,,False,7200.0,False,0.0
S014-MED-01,SENS22-008,S014,3165.740841018609,3600.0,False,,False,0.0
S014-WAT-01,SENS22-008,S014,3165.740841018609,3600.0,False,3600.0,False,0.0
S014-FOD-01,SENS22-008,S014,3165.740841018609,,False,7200.0,False,0.0
S003-MED-01,SENS22-009,S003,4324.950564971892,7200.0,False,,False,0.0
S003-WAT-01,SENS22-009,S003,4324.950564971892,7200.0,False,7200.0,False,0.0
S003-WAT-02,SENS22-009,S003,4324.950564971892,,False,7200.0,False,0.0
S003-WAT-03,SENS22-009,S003,4324.950564971892,,False,7200.0,False,0.0
S003-WAT-04,SENS22-009,S003,4324.950564971892,,False,7200.0,False,0.0
S003-FOD-01,SENS22-009,S003,4324.950564971892,,False,10800.0,False,0.0
S004-MED-01,SENS22-010,S004,5677.266238296924,7200.0,False,,False,0.0
S004-WAT-01,SENS22-010,S004,5677.266238296924,7200.0,False,7200.0,False,0.0
S004-WAT-02,SENS22-010,S004,5677.266238296924,,False,7200.0,False,0.0
S004-WAT-03,SENS22-010,S004,5677.266238296924,,False,7200.0,False,0.0
S004-FOD-01,SENS22-010,S004,5677.266238296924,,False,10800.0,False,0.0
S004-HYG-01,SENS22-010,S004,5677.266238296924,,False,14400.0,False,0.0
S008-MED-01,SENS22-011,S008,6615.166899547964,7200.0,False,,False,0.0
S008-WAT-01,SENS22-011,S008,6615.166899547964,7200.0,False,7200.0,False,0.0
S008-WAT-02,SENS22-011,S008,6615.166899547964,,False,7200.0,False,0.0
S008-FOD-01,SENS22-011,S008,6615.166899547964,,False,10800.0,False,0.0
S008-HYG-01,SENS22-011,S008,6615.166899547964,,False,14400.0,False,0.0
S015-MED-01,SENS22-012,S015,4283.289983390553,7200.0,False,,False,0.0
S015-WAT-01,SENS22-012,S015,4283.289983390553,10800.0,False,10800.0,False,0.0
S015-FOD-01,SENS22-012,S015,4283.289983390553,,False,14400.0,False,0.0
S005-MED-01,SENS22-013,S005,7573.548186305997,10800.0,False,,False,0.0
S005-WAT-01,SENS22-013,S005,7573.548186305997,10800.0,False,10800.0,False,0.0
S005-WAT-02,SENS22-013,S005,7573.548186305997,,False,10800.0,False,0.0
S009-MED-01,SENS22-014,S009,4884.470390297258,10800.0,False,,False,0.0
S009-WAT-01,SENS22-014,S009,4884.470390297258,10800.0,False,10800.0,False,0.0
S009-FOD-01,SENS22-014,S009,4884.470390297258,,False,14400.0,False,0.0
S011-MED-01,SENS22-015,S011,5801.667554515361,10800.0,False,,False,0.0
S011-WAT-01,SENS22-015,S011,5801.667554515361,10800.0,False,10800.0,False,0.0
S011-FOD-01,SENS22-015,S011,5801.667554515361,,False,14400.0,False,0.0
S001-WAT-06,SENS22-016,S001,8712.11335760745,,False,3600.0,True,5112.11335760745
S001-WAT-07,SENS22-016,S001,8712.11335760745,,False,3600.0,True,5112.11335760745
S001-WAT-08,SENS22-016,S001,8712.11335760745,,False,3600.0,True,5112.11335760745
S001-FOD-01,SENS22-016,S001,8712.11335760745,,False,7200.0,True,1512.1133576074499
S001-FOD-02,SENS22-017,S001,9954.04465944364,,False,7200.0,True,2754.04465944364
S001-FOD-03,SENS22-017,S001,9954.04465944364,,False,7200.0,True,2754.04465944364
S001-HYG-01,SENS22-017,S001,9954.04465944364,,False,10800.0,False,0.0
S001-HYG-02,SENS22-017,S001,9954.04465944364,,False,10800.0,False,0.0
S001-WAT-02,SENS22-018,S001,10789.87601464792,,False,3600.0,True,7189.87601464792
S001-WAT-03,SENS22-018,S001,10789.87601464792,,False,3600.0,True,7189.87601464792
S001-WAT-04,SENS22-018,S001,10789.87601464792,,False,3600.0,True,7189.87601464792
S001-WAT-05,SENS22-018,S001,10789.87601464792,,False,3600.0,True,7189.87601464792
S002-FOD-02,SENS22-019,S002,6547.203448547698,,False,7200.0,False,0.0
S002-HYG-01,SENS22-019,S002,6547.203448547698,,False,10800.0,False,0.0
S003-FOD-02,SENS22-020,S003,7850.920580821427,,False,10800.0,False,0.0
S003-HYG-01,SENS22-020,S003,7850.920580821427,,False,14400.0,False,0.0
S005-WAT-03,SENS22-021,S005,11443.23423915831,,False,10800.0,True,643.2342391583097
S005-FOD-01,SENS22-021,S005,11443.23423915831,,False,14400.0,False,0.0
S005-HYG-01,SENS22-021,S005,11443.23423915831,,False,18000.0,False,0.0
S006-WAT-03,SENS22-022,S006,12113.483952754483,,False,3600.0,True,8513.483952754483
S006-FOD-01,SENS22-022,S006,12113.483952754483,,False,7200.0,True,4913.483952754483
S006-HYG-01,SENS22-022,S006,12113.483952754483,,False,10800.0,True,1313.4839527544827
