box_id,sortie,service,completion_s,hard_deadline_s,hard_violation,soft_deadline_s,soft_late,soft_lateness_s
S001-MED-01,SENS26-001,S001,984.9016197465805,3600.0,False,,False,0.0
S001-MED-02,SENS26-001,S001,984.9016197465805,3600.0,False,,False,0.0
S001-WAT-01,SENS26-001,S001,984.9016197465805,3600.0,False,3600.0,False,0.0
S002-MED-01,SENS26-002,S002,1290.930586707283,3600.0,False,,False,0.0
S002-WAT-01,SENS26-002,S002,1290.930586707283,3600.0,False,3600.0,False,0.0
S002-WAT-02,SENS26-002,S002,1290.930586707283,,False,3600.0,False,0.0
S006-MED-01,SENS26-003,S006,2308.5095578531445,3600.0,False,,False,0.0
S006-WAT-01,SENS26-003,S006,2308.5095578531445,3600.0,False,3600.0,False,0.0
S006-WAT-02,SENS26-003,S006,2308.5095578531445,,False,3600.0,False,0.0
S007-MED-01,SENS26-004,S007,3260.7594931080507,3600.0,False,,False,0.0
S007-WAT-01,SENS26-004,S007,3260.7594931080507,3600.0,False,3600.0,False,0.0
S007-WAT-02,SENS26-004,S007,3260.7594931080507,,False,3600.0,False,0.0
S007-FOD-01,SENS26-004,S007,3260.7594931080507,,False,7200.0,False,0.0
S007-HYG-01,SENS26-004,S007,3260.7594931080507,,False,10800.0,False,0.0
S010-MED-01,SENS26-005,S010,1084.8348215935089,3600.0,False,,False,0.0
S010-WAT-01,SENS26-005,S010,1084.8348215935089,3600.0,False,3600.0,False,0.0
S010-FOD-01,SENS26-005,S010,1084.8348215935089,,False,7200.0,False,0.0
S012-MED-01,SENS26-006,S012,1271.8746695035416,3600.0,False,,False,0.0
S012-WAT-01,SENS26-006,S012,1271.8746695035416,3600.0,False,3600.0,False,0.0
S012-FOD-01,SENS26-006,S012,1271.8746695035416,,False,7200.0,False,0.0
S013-MED-01,SENS26-007,S013,2617.349918549454,3600.0,False,,False,0.0
S013-WAT-01,SENS26-007,S013,2617.349918549454,3600.0,False,3600.0,False,0.0
S013-FOD-01,SENS26-007,S013,2617.349918549454,,False,7200.0,False,0.0
S014-MED-01,SENS26-008,S014,3165.740841018609,3600.0,False,,False,0.0
S014-WAT-01,SENS26-008,S014,3165.740841018609,3600.0,False,3600.0,False,0.0
S014-FOD-01,SENS26-008,S014,3165.740841018609,,False,7200.0,False,0.0
S003-MED-01,SENS26-009,S003,4126.950564971892,7200.0,False,,False,0.0
S003-WAT-01,SENS26-009,S003,4126.950564971892,7200.0,False,7200.0,False,0.0
S003-WAT-02,SENS26-009,S003,4126.950564971892,,False,7200.0,False,0.0
S004-MED-01,SENS26-010,S004,5479.266238296924,7200.0,False,,False,0.0
S004-WAT-01,SENS26-010,S004,5479.266238296924,7200.0,False,7200.0,False,0.0
S004-WAT-02,SENS26-010,S004,5479.266238296924,,False,7200.0,False,0.0
S008-MED-01,SENS26-011,S008,6219.166899547964,7200.0,False,,False,0.0
S008-WAT-01,SENS26-011,S008,6219.166899547964,7200.0,False,7200.0,False,0.0
S015-MED-01,SENS26-012,S015,4283.289983390553,7200.0,False,,False,0.0
S015-WAT-01,SENS26-012,S015,4283.289983390553,10800.0,False,10800.0,False,0.0
S015-FOD-01,SENS26-012,S015,4283.289983390553,,False,14400.0,False,0.0
S005-MED-01,SENS26-013,S005,7375.548186305997,10800.0,False,,False,0.0
S005-WAT-01,SENS26-013,S005,7375.548186305997,10800.0,False,10800.0,False,0.0
