sortie_id,route,service_sequence,service_area_count,box_count,box_ids,aircraft_id,aircraft_type,start_s,return_s
SENS27-001,O01 -> S001 -> O01,S001,1,3,S001-MED-01;S001-MED-02;S001-WAT-01,U07,C,0.0,1297.4332394931612
SENS27-002,O01 -> S002 -> O01,S002,1,3,S002-MED-01;S002-WAT-01;S002-WAT-02,U08,C,0.0,1913.041173414566
SENS27-003,O01 -> S006 -> O01,S006,1,3,S006-MED-01;S006-WAT-01;S006-WAT-02,U07,C,1297.4332394931612,2660.2958762131275
SENS27-004,O01 -> S007 -> O01,S007,1,2,S007-MED-01;S007-WAT-01,U08,C,1913.041173414566,3622.557812801536
SENS27-005,O01 -> S010 -> O01,S010,1,3,S010-MED-01;S010-WAT-01;S010-FOD-01,U05,B,0.0,1554.5963098536845
SENS27-006,O01 -> S012 -> O01,S012,1,3,S012-MED-01;S012-WAT-01;S012-FOD-01,U06,B,0.0,1923.889339007083
SENS27-007,O01 -> S013 -> O01,S013,1,3,S013-MED-01;S013-WAT-01;S013-FOD-01,U05,B,1554.5963098536845,3065.036860578557
SENS27-008,O01 -> S014 -> O01,S014,1,3,S014-MED-01;S014-WAT-01;S014-FOD-01,U06,B,1923.889339007083,3792.4790096968018
SENS27-009,O01 -> S003 -> O01,S003,1,3,S003-MED-01;S003-WAT-01;S003-WAT-02,U07,C,2679.541609164337,4917.439520779449
SENS27-010,O01 -> S004 -> O01,S004,1,3,S004-MED-01;S004-WAT-01;S004-WAT-02,U08,C,4091.7022502559416,6198.890226337907
SENS27-011,O01 -> S008 -> O01,S008,1,2,S008-MED-01;S008-WAT-01,U07,C,4917.439520779449,6923.214278316479
SENS27-012,O01 -> S015 -> O01,S015,1,3,S015-MED-01;S015-WAT-01;S015-FOD-01,U05,B,3065.036860578557,4894.663106202548
SENS27-013,O01 -> S005 -> O01,S005,1,3,S005-MED-01;S005-WAT-01;S005-WAT-02,U08,C,6198.890226337907,7880.936146274087
SENS27-014,O01 -> S009 -> O01,S009,1,3,S009-MED-01;S009-WAT-01;S009-FOD-01,U06,B,3792.4790096968018,5353.281770897713
SENS27-015,O01 -> S011 -> O01,S011,1,3,S011-MED-01;S011-WAT-01;S011-FOD-01,U05,B,4894.663106202548,6084.298669494842
SENS27-016,O01 -> S001 -> O01,S001,1,4,S001-WAT-06;S001-WAT-07;S001-WAT-08;S001-FOD-01,U07,C,7112.2906381968305,8475.72387768999
SENS27-017,O01 -> S001 -> O01,S001,1,4,S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-HYG-02,U08,C,8459.679915417899,9823.11315491106
SENS27-018,O01 -> S001 -> O01,S001,1,4,S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05,U07,C,9174.92687125719,10538.360110750351
SENS27-019,O01 -> S002 -> O01,S002,1,2,S002-FOD-02;S002-HYG-01,U06,B,5385.301904198814,7145.224992896583
SENS27-020,O01 -> S002 -> O01,S002,1,3,S002-WAT-03;S002-WAT-04;S002-FOD-01,U08,C,9823.11315491106,11736.154328325625
SENS27-021,O01 -> S003 -> O01,S003,1,2,S003-FOD-02;S003-HYG-01,U05,B,6562.782314711138,8583.112180265052
SENS27-022,O01 -> S003 -> O01,S003,1,3,S003-WAT-03;S003-WAT-04;S003-FOD-01,U07,C,10538.360110750351,12776.258022365462
SENS27-023,O01 -> S004 -> O01,S004,1,3,S004-WAT-03;S004-FOD-01;S004-HYG-01,U08,C,11736.154328325625,13843.34230440759
SENS27-024,O01 -> S005 -> O01,S005,1,3,S005-WAT-03;S005-FOD-01;S005-HYG-01,U07,C,12776.258022365462,14458.303942301642
SENS27-025,O01 -> S006 -> O01,S006,1,3,S006-WAT-03;S006-FOD-01;S006-HYG-01,U08,C,13955.092539105963,15317.95517582593
SENS27-026,O01 -> S007 -> O01,S007,1,3,S007-WAT-02;S007-FOD-01;S007-HYG-01,U07,C,15000.456101636937,16775.972741023907
SENS27-027,O01 -> S008 -> O01,S008,1,3,S008-WAT-02;S008-FOD-01;S008-HYG-01,U08,C,16087.945447907412,18159.720205444442
