from_node,to_node,drone_type,margin_at_1p1db,margin_at_1p2db,delta_margin,communication_possible_at_1p2db,candidate_count,scenario,delta_backhaul_db,pipeline_sha256
S001,S002,C,-0.044994,0.055006322380862116,0.10000032238086212,True,2,FEASIBILITY_RESTORED_1P2DB,1.2,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S002,S001,C,-0.044994,0.055006322380862116,0.10000032238086212,True,2,FEASIBILITY_RESTORED_1P2DB,1.2,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S002,O01,C,-0.044994,0.055006322380862116,0.10000032238086212,True,2,FEASIBILITY_RESTORED_1P2DB,1.2,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
O01,S002,C,-0.044994,0.055006322380862116,0.10000032238086212,True,2,FEASIBILITY_RESTORED_1P2DB,1.2,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S002,S005,C,-0.044994,0.055006322380862116,0.10000032238086212,True,3,FEASIBILITY_RESTORED_1P2DB,1.2,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S002,S004,C,-0.044994,0.055006322380862116,0.10000032238086212,True,3,FEASIBILITY_RESTORED_1P2DB,1.2,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S002,S011,C,-0.044994,0.055006322380862116,0.10000032238086212,True,2,FEASIBILITY_RESTORED_1P2DB,1.2,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S002,S006,C,-0.044994,0.055006322380862116,0.10000032238086212,True,2,FEASIBILITY_RESTORED_1P2DB,1.2,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S002,S009,C,-0.044994,0.055006322380862116,0.10000032238086212,True,3,FEASIBILITY_RESTORED_1P2DB,1.2,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S002,S010,C,-0.044994,0.055006322380862116,0.10000032238086212,True,3,FEASIBILITY_RESTORED_1P2DB,1.2,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S002,S013,C,-0.044994,0.055006322380862116,0.10000032238086212,True,3,FEASIBILITY_RESTORED_1P2DB,1.2,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S002,S012,C,-0.044994,0.055006322380862116,0.10000032238086212,True,3,FEASIBILITY_RESTORED_1P2DB,1.2,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S005,S002,C,-0.044994,0.055006322380862116,0.10000032238086212,True,3,FEASIBILITY_RESTORED_1P2DB,1.2,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S004,S002,C,-0.044994,0.055006322380862116,0.10000032238086212,True,3,FEASIBILITY_RESTORED_1P2DB,1.2,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S009,S002,C,-0.044994,0.055006322380862116,0.10000032238086212,True,3,FEASIBILITY_RESTORED_1P2DB,1.2,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S011,S002,C,-0.044994,0.055006322380862116,0.10000032238086212,True,2,FEASIBILITY_RESTORED_1P2DB,1.2,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S010,S002,C,-0.044994,0.055006322380862116,0.10000032238086212,True,3,FEASIBILITY_RESTORED_1P2DB,1.2,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S012,S002,C,-0.044994,0.055006322380862116,0.10000032238086212,True,3,FEASIBILITY_RESTORED_1P2DB,1.2,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S013,S002,C,-0.044994,0.055006322380862116,0.10000032238086212,True,3,FEASIBILITY_RESTORED_1P2DB,1.2,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
