sortie,box_ids,status
K25-002,"['S002-MED-01', 'S002-WAT-01', 'S002-WAT-02']",UNASSIGNED
K25-004,"['S007-MED-01', 'S007-WAT-01', 'S007-WAT-02', 'S007-FOD-01', 'S007-HYG-01']",UNASSIGNED
K25-005,"['S010-MED-01', 'S010-WAT-01', 'S010-FOD-01']",UNASSIGNED
K25-006,"['S012-MED-01', 'S012-WAT-01', 'S012-FOD-01']",UNASSIGNED
K25-007,"['S013-MED-01', 'S013-WAT-01', 'S013-FOD-01']",UNASSIGNED
K25-008,"['S014-MED-01', 'S014-WAT-01', 'S014-FOD-01']",UNASSIGNED
K25-009,"['S003-MED-01', 'S003-WAT-01', 'S003-WAT-02']",UNASSIGNED
K25-011,"['S008-MED-01', 'S008-WAT-01', 'S008-WAT-02', 'S008-FOD-01', 'S008-HYG-01']",UNASSIGNED
K25-012,"['S015-MED-01', 'S015-WAT-01', 'S015-FOD-01']",UNASSIGNED
K25-013,"['S005-MED-01', 'S005-WAT-01', 'S005-WAT-02']",UNASSIGNED
K25-014,"['S009-MED-01', 'S009-WAT-01', 'S009-FOD-01']",UNASSIGNED
K25-019,"['S002-FOD-02', 'S002-HYG-01']",UNASSIGNED
K25-020,"['S002-WAT-03', 'S002-WAT-04', 'S002-FOD-01']",UNASSIGNED
K25-021,"['S003-FOD-02', 'S003-HYG-01']",UNASSIGNED
K25-022,"['S003-WAT-03', 'S003-WAT-04', 'S003-FOD-01']",UNASSIGNED
K25-024,"['S005-WAT-03', 'S005-FOD-01', 'S005-HYG-01']",UNASSIGNED
