sortie,candidate_relay,candidate_hover,reason,min_access_margin,min_backhaul_margin,rejected
K24-002,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-002,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-002,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-002,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-002,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-002,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-002,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-002,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-002,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-002,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-002,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-002,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-002,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-002,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-002,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-002,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-004,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-004,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-004,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-004,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-004,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-004,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-004,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-004,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-004,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-004,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-004,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-004,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-004,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-004,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-004,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-004,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-005,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-005,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-005,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-005,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-005,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-005,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-005,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-005,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-005,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-005,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-005,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-005,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-005,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-005,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-005,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-005,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-006,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-006,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-006,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-006,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-006,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-006,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-006,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-006,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-006,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-006,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-006,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-006,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-006,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-006,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-006,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-006,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-007,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-007,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-007,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-007,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-007,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-007,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-007,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-007,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-007,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-007,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-007,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-007,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-007,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-007,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-007,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-007,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-008,R01,200.0,strict_dynamic_link_certificate_failed,,,True
K24-008,R02,200.0,strict_dynamic_link_certificate_failed,,,True
K24-008,R01,200.0,strict_dynamic_link_certificate_failed,,,True
K24-008,R02,200.0,strict_dynamic_link_certificate_failed,,,True
K24-008,R01,200.0,strict_dynamic_link_certificate_failed,,,True
K24-008,R02,200.0,strict_dynamic_link_certificate_failed,,,True
K24-008,R01,200.0,strict_dynamic_link_certificate_failed,,,True
K24-008,R02,200.0,strict_dynamic_link_certificate_failed,,,True
K24-008,R01,200.0,strict_dynamic_link_certificate_failed,,,True
K24-008,R02,200.0,strict_dynamic_link_certificate_failed,,,True
K24-008,R01,200.0,strict_dynamic_link_certificate_failed,,,True
K24-008,R02,200.0,strict_dynamic_link_certificate_failed,,,True
K24-008,R01,200.0,strict_dynamic_link_certificate_failed,,,True
K24-008,R02,200.0,strict_dynamic_link_certificate_failed,,,True
K24-008,R01,200.0,strict_dynamic_link_certificate_failed,,,True
K24-008,R02,200.0,strict_dynamic_link_certificate_failed,,,True
K24-009,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-009,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-009,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K24-009,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K24-009,R01,100.0,strict_dynamic_link_certificate_failed,,,True
