sortie,interval_id,start_s,end_s,phase,direct_available,relay_required,access_link_ok,backhaul_link_ok,communication_ok,direct_margin_lower_bound_db
K28-001,0,0.0,58.142644042968755,climb,True,False,True,True,True,29.982830377148545
K28-001,1,58.142644042968755,59.12173515357989,cruise,True,False,True,True,True,29.92362584195382
K28-001,2,59.12173515357989,60.10082626419103,cruise,True,False,True,True,True,29.75070605559381
K28-001,3,60.10082626419103,60.115835986840246,cruise,True,False,True,True,True,29.747229068304677
K28-001,4,60.115835986840246,60.13084570948946,cruise,True,False,True,True,True,29.743728344586756
K28-001,5,60.13084570948946,61.24668735044981,cruise,True,False,True,True,True,29.421572052712207
K28-001,6,61.24668735044981,62.36252899141016,cruise,True,False,True,True,True,28.996496577668893
K28-001,7,62.36252899141016,63.493380355019724,cruise,True,False,True,True,True,28.490839060973485
K28-001,8,63.493380355019724,64.62423171862929,cruise,True,False,True,True,True,27.937503828684015
K28-001,9,64.62423171862929,64.66872713783812,cruise,True,False,True,True,True,27.915089108754543
K28-001,10,64.66872713783812,64.71322255704695,cruise,True,False,True,True,True,27.892637314212095
K28-001,11,64.71322255704695,65.79957850143322,cruise,True,False,True,True,True,27.3359365160194
K28-001,12,65.79957850143322,66.88593444581949,cruise,True,False,True,True,True,26.77191134651089
K28-001,13,66.88593444581949,68.01678580944352,cruise,True,False,True,True,True,26.187954447477225
K28-001,14,68.01678580944352,69.14763717306755,cruise,True,False,True,True,True,25.61472795513434
K28-001,15,69.14763717306755,69.221618288836,cruise,True,False,True,True,True,25.57772735751206
K28-001,16,69.221618288836,69.29559940460445,cruise,True,False,True,True,True,25.540794565839505
K28-001,17,69.29559940460445,70.3524696524311,cruise,True,False,True,True,True,25.021074075363558
K28-001,18,70.3524696524311,71.40933990025775,cruise,True,False,True,True,True,24.517310356462204
K28-001,19,71.40933990025775,72.54019126385285,cruise,True,False,True,True,True,23.997105022055266
K28-001,20,72.54019126385285,73.67104262744795,cruise,True,False,True,True,True,23.496731450805584
K28-001,21,73.67104262744795,73.77450943968772,cruise,True,False,True,True,True,23.45193712405478
K28-001,22,73.77450943968772,73.87797625192749,cruise,True,False,True,True,True,23.407307173506666
K28-001,23,73.87797625192749,74.90536080331175,cruise,True,False,True,True,True,22.97298378640356
K28-001,24,74.90536080331175,75.93274535469601,cruise,True,False,True,True,True,22.55437747244312
K28-001,25,75.93274535469601,77.06359671829111,cruise,True,False,True,True,True,22.11109863941246
K28-001,26,77.06359671829111,78.19444808188621,cruise,True,False,True,True,True,21.68530215131706
K28-001,27,78.19444808188621,78.3274005906856,cruise,True,False,True,True,True,21.636348293413306
K28-001,28,78.3274005906856,78.46035309948499,cruise,True,False,True,True,True,21.587621980781208
K28-001,29,78.46035309948499,79.45825195429516,cruise,True,False,True,True,True,21.22900977909201
K28-001,30,79.45825195429516,80.45615080910534,cruise,True,False,True,True,True,20.882502268859383
K28-001,31,80.45615080910534,81.5870021727149,cruise,True,False,True,True,True,20.503682898184167
K28-001,32,81.5870021727149,82.71785353632447,cruise,True,False,True,True,True,20.138754876011262
K28-001,33,82.71785353632447,82.88029174168346,cruise,True,False,True,True,True,20.08742806505026
K28-001,34,82.88029174168346,83.04272994704246,cruise,True,False,True,True,True,20.036368540267915
K28-001,35,83.04272994704246,84.01114310527856,cruise,True,False,True,True,True,19.737385205628357
K28-001,36,84.01114310527856,84.97955626351467,cruise,True,False,True,True,True,19.447343190206695
K28-001,37,84.97955626351467,86.1104076271387,cruise,True,False,True,True,True,19.11936521983536
K28-001,38,86.1104076271387,87.24125899076273,cruise,True,False,True,True,True,18.802290592275597
