box_id,sortie,completion_s,hard_ok
S001-MED-01,Q2-001,1428.9016197465805,True
S001-MED-02,Q2-001,1428.9016197465805,True
S001-WAT-01,Q2-001,1428.9016197465805,True
S001-WAT-02,Q2-001,1428.9016197465805,True
S001-WAT-03,Q2-001,1428.9016197465805,True
S001-WAT-04,Q2-001,1428.9016197465805,True
S001-WAT-05,Q2-001,1428.9016197465805,True
S001-WAT-06,Q2-002,1554.9016197465805,True
S001-WAT-07,Q2-002,1554.9016197465805,True
S001-WAT-08,Q2-002,1554.9016197465805,True
S001-FOD-01,Q2-002,1554.9016197465805,True
S001-FOD-02,Q2-002,1554.9016197465805,True
S001-FOD-03,Q2-002,1554.9016197465805,True
S001-HYG-01,Q2-002,1554.9016197465805,True
S001-HYG-02,Q2-002,1554.9016197465805,True
S002-FOD-02,Q2-003,20481.901544348886,True
S002-HYG-01,Q2-003,20481.901544348886,True
S002-MED-01,Q2-004,19488.930586707284,False
S002-WAT-01,Q2-004,19488.930586707284,False
S002-WAT-02,Q2-004,19488.930586707284,True
S002-WAT-03,Q2-004,19488.930586707284,True
S002-WAT-04,Q2-004,19488.930586707284,True
S002-FOD-01,Q2-004,19488.930586707284,True
S003-FOD-02,Q2-005,14248.13826611029,True
S003-HYG-01,Q2-005,14248.13826611029,True
S003-MED-01,Q2-006,6145.408955807556,True
S003-WAT-01,Q2-006,6145.408955807556,True
S003-WAT-02,Q2-006,6145.408955807556,True
S003-WAT-03,Q2-006,6145.408955807556,True
S003-WAT-04,Q2-006,6145.408955807556,True
S003-FOD-01,Q2-006,6145.408955807556,True
S004-MED-01,Q2-007,7045.563988040983,True
S004-WAT-01,Q2-007,7045.563988040983,True
S004-WAT-02,Q2-007,7045.563988040983,True
S004-WAT-03,Q2-007,7045.563988040983,True
S004-FOD-01,Q2-007,7045.563988040983,True
S004-HYG-01,Q2-007,7045.563988040983,True
S005-MED-01,Q2-008,10794.65795996809,True
S005-WAT-01,Q2-008,10794.65795996809,True
S005-WAT-02,Q2-008,10794.65795996809,True
S005-WAT-03,Q2-008,10794.65795996809,True
S005-FOD-01,Q2-008,10794.65795996809,True
S005-HYG-01,Q2-008,10794.65795996809,True
S006-MED-01,Q2-009,3549.076318359983,True
S006-WAT-01,Q2-009,3549.076318359983,True
S006-WAT-02,Q2-009,3549.076318359983,True
S006-WAT-03,Q2-009,3549.076318359983,True
S006-FOD-01,Q2-009,3549.076318359983,True
S006-HYG-01,Q2-009,3549.076318359983,True
S007-MED-01,Q2-010,16887.718319693486,False
S007-WAT-01,Q2-010,16887.718319693486,False
S007-WAT-02,Q2-010,16887.718319693486,True
S007-FOD-01,Q2-010,16887.718319693486,True
S007-HYG-01,Q2-010,16887.718319693486,True
S008-MED-01,Q2-011,13799.727378768515,False
S008-WAT-01,Q2-011,13799.727378768515,False
S008-WAT-02,Q2-011,13799.727378768515,True
S008-FOD-01,Q2-011,13799.727378768515,True
S008-HYG-01,Q2-011,13799.727378768515,True
S009-MED-01,Q2-012,9431.991380600455,True
S009-WAT-01,Q2-012,9431.991380600455,True
S009-FOD-01,Q2-012,9431.991380600455,True
S010-MED-01,Q2-013,3544.834821593509,True
S010-WAT-01,Q2-013,3544.834821593509,True
S010-FOD-01,Q2-013,3544.834821593509,True
S011-MED-01,Q2-014,8527.004448312813,True
S011-WAT-01,Q2-014,8527.004448312813,True
S011-FOD-01,Q2-014,8527.004448312813,True
S012-MED-01,Q2-015,17771.87466950354,False
S012-WAT-01,Q2-015,17771.87466950354,False
S012-FOD-01,Q2-015,17771.87466950354,True
S013-MED-01,Q2-016,23382.75360869577,False
S013-WAT-01,Q2-016,23382.75360869577,False
S013-FOD-01,Q2-016,23382.75360869577,True
S014-MED-01,Q2-017,22661.851502011526,False
S014-WAT-01,Q2-017,22661.851502011526,False
S014-FOD-01,Q2-017,22661.851502011526,True
S015-MED-01,Q2-018,11718.253122811995,False
S015-WAT-01,Q2-018,11718.253122811995,False
S015-FOD-01,Q2-018,11718.253122811995,True
