sortie,boxes,service,hard_boxes,deadline,q2_arrival,q3_arrival,delay_added_by_relay,delay_added_by_aircraft,delay_added_by_battery,delay_added_by_service,dominant_delay_source,total_q2_to_q3_delay
Q2-001,S001-MED-01;S001-MED-02;S001-WAT-01;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05,S001,0,3600.0,1248.9016197465803,1428.9016197465805,0.0,0.0,0.0,0.0,relay,180.00000000000023
Q2-004,S002-MED-01;S002-WAT-01;S002-WAT-02;S002-WAT-03;S002-WAT-04;S002-FOD-01,S002,0,3600.0,1488.930586707283,1668.930586707283,0.0,0.0,0.0,0.0,relay,180.0
Q2-006,S003-MED-01;S003-WAT-01;S003-WAT-02;S003-WAT-03;S003-WAT-04;S003-FOD-01,S003,2,7200.0,4832.719918175042,9932.74169259924,4505.036860578557,0.0,0.0,0.0,relay,5100.021774424198
Q2-007,S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03;S004-FOD-01;S004-HYG-01,S004,2,7200.0,6236.449204107764,11496.60081053932,5080.151606431555,0.0,0.0,0.0,relay,5260.151606431556
Q2-008,S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03;S005-FOD-01;S005-HYG-01,S005,2,10800.0,8330.731152116838,15261.663365911916,480.0,0.0,0.0,0.0,relay,6930.9322137950785
Q2-009,S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03;S006-FOD-01;S006-HYG-01,S006,0,3600.0,2770.5095578531445,3430.509557853144,480.0,0.0,0.0,0.0,relay,659.9999999999995
Q2-010,S007-MED-01;S007-WAT-01;S007-WAT-02;S007-FOD-01;S007-HYG-01,S007,2,3600.0,3458.7594931080507,4118.759493108051,480.0,0.0,0.0,0.0,relay,660.0000000000005
Q2-011,S008-MED-01;S008-WAT-01;S008-WAT-02;S008-FOD-01;S008-HYG-01,S008,2,7200.0,7122.936252751113,12702.958027175311,480.0,0.0,0.0,0.0,relay,5580.021774424198
Q2-012,S009-MED-01;S009-WAT-01;S009-FOD-01,S009,2,10800.0,4884.470390297258,16097.842424804749,480.0,0.0,0.0,0.0,relay,11213.37203450749
Q2-013,S010-MED-01;S010-WAT-01;S010-FOD-01,S010,2,3600.0,1084.8348215935089,5347.130697806637,4082.2958762131275,0.0,0.0,0.0,relay,4262.2958762131275
Q2-014,S011-MED-01;S011-WAT-01;S011-FOD-01,S011,2,10800.0,5801.667554515361,17154.05577419282,53.08107316712267,0.0,0.0,0.0,relay,11352.38821967746
Q2-015,S012-MED-01;S012-WAT-01;S012-FOD-01,S012,2,3600.0,1271.8746695035416,6430.4324823050765,4978.557812801535,0.0,0.0,0.0,relay,5158.557812801535
Q2-016,S013-MED-01;S013-WAT-01;S013-FOD-01,S013,2,3600.0,2617.349918549454,7359.645794762582,480.0,0.0,0.0,0.0,relay,4742.295876213128
Q2-017,S014-MED-01;S014-WAT-01;S014-FOD-01,S014,2,3600.0,3165.740841018609,8804.298653820144,289.7400515695199,0.0,0.0,0.0,relay,5638.557812801535
Q2-018,S015-MED-01;S015-WAT-01;S015-FOD-01,S015,2,7200.0,4283.289983390553,13914.477921392296,1672.3650815799538,0.0,0.0,0.0,relay,9631.187938001742
