sortie,candidate_relay,candidate_hover,reason,min_access_margin,min_backhaul_margin,rejected
K27-002,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K27-002,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K27-002,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K27-002,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K27-002,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K27-002,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K27-002,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K27-002,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K27-002,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K27-002,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K27-002,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K27-002,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K27-002,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K27-002,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K27-002,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K27-002,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K27-004,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K27-004,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K27-004,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K27-004,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K27-004,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K27-004,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K27-004,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K27-004,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K27-004,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K27-004,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K27-004,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K27-004,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K27-004,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K27-004,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K27-004,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K27-004,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K27-005,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K27-005,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K27-005,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K27-005,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K27-005,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K27-005,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K27-005,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K27-005,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K27-005,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K27-005,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K27-005,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K27-005,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K27-005,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K27-005,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K27-005,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K27-005,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K27-006,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K27-006,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K27-006,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K27-006,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K27-006,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K27-006,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K27-006,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K27-006,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K27-006,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K27-006,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K27-006,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K27-006,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K27-006,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K27-006,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K27-006,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K27-006,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K27-007,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K27-007,R02,100.0,strict_dynamic_link_certificate_failed,,,True
K27-007,R01,100.0,strict_dynamic_link_certificate_failed,,,True
K27-007,R02,100.0,strict_dynamic_link_certificate_failed,,,True
