from_node,to_node,drone_type,status,runtime_seconds,worst_joint_margin,communication_possible,pipeline_sha256
O01,S006,C,COMPLETED,2.549700975418091,inf,True,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
O01,S011,C,COMPLETED,3.1704261302948,inf,True,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
O01,S013,C,COMPLETED,19.121209621429443,8.253309043575541,True,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
O01,S005,C,COMPLETED,19.77362322807312,7.477418817803681,True,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S001,O01,C,COMPLETED,3.5419204235076904,inf,True,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
O01,S014,C,COMPLETED,20.13702416419983,2.7176137743184654,True,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
O01,S004,C,COMPLETED,24.753989934921265,4.185182638468788,True,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
O01,S015,C,COMPLETED,23.38783550262451,1.8907832725306122,True,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S006,O01,C,COMPLETED,2.931560754776001,inf,True,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
O01,S012,C,COMPLETED,37.07986783981323,0.0215367100486219,True,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S005,O01,C,COMPLETED,18.753386735916138,7.477418817803681,True,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S002,O01,C,COMPLETED,26.730987071990967,-0.04499367761914641,False,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S007,O01,C,COMPLETED,18.733911991119385,8.836081683362565,True,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S004,O01,C,COMPLETED,26.340601921081543,4.185182638468788,True,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S011,S001,C,COMPLETED,4.326641798019409,inf,True,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S003,O01,C,COMPLETED,32.73358511924744,0.17143617326418337,True,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S009,O01,C,COMPLETED,23.998663663864136,2.33855101331298,True,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S008,O01,C,COMPLETED,29.336606979370117,3.7863702057398427,True,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S007,S003,C,COMPLETED,37.26049089431763,0.17143617326418337,True,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S010,S013,C,COMPLETED,28.686410665512085,3.918482904678413,True,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S011,S008,C,COMPLETED,27.857751846313477,7.4019063390613695,True,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S013,O01,C,COMPLETED,18.29447889328003,8.253309043575541,True,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S012,S002,C,COMPLETED,46.81048893928528,-0.04499367761914641,False,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S014,S010,C,COMPLETED,27.13387417793274,2.7176137743184654,True,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S012,S009,C,COMPLETED,37.47714972496033,0.0215367100486219,True,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S013,S012,C,COMPLETED,34.76579284667969,0.0215367100486219,True,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S015,S011,C,COMPLETED,19.6040678024292,1.8907832725306122,True,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
S015,S007,C,COMPLETED,29.57121706008911,1.8907832725306122,True,5f5fc70d5ed19d36644cdad811b12bdac89d19f18393218c72fca28dae32afeb
