route,visit_order,box_set,drone_type,payload_ok,volume_ok,reserve_ok,hard_deadline_ok,soft_lateness,relay_required_interval_count,best_access_margin,best_backhaul_margin,best_joint_margin,communication_pass,relay_energy_ok,route_feasible,mass_kg,volume_m3,energy_kwh,delivery_times
O01->S001->S008->O01,S001->S008,"[""S008-MED-01""]",B,True,True,True,True,0.0,763,-6.475789479030624,4.04386118768889,-6.475789479030624,False,True,False,3.0,0.012,2.5933005423736946,"{""S001"": 768.3055180620103, ""S008"": 1456.4864930371584}"
O01->S001->S008->O01,S001->S008,"[""S008-MED-01""]",C,True,True,True,True,0.0,763,-6.475789479030624,4.04386118768889,-6.475789479030624,False,True,False,3.0,0.012,5.42351953310831,"{""S001"": 816.9016197465805, ""S008"": 1564.8571231234214}"
O01->S001->S008->O01,S001->S008,"[""S008-MED-01"", ""S008-WAT-01""]",B,True,True,True,True,0.0,763,-6.475789479030624,4.04386118768889,-6.475789479030624,False,True,False,17.0,0.039,2.8836537968704645,"{""S001"": 798.3055180620103, ""S008"": 1516.4864930371584}"
O01->S001->S008->O01,S001->S008,"[""S008-MED-01"", ""S008-WAT-01""]",C,True,True,True,True,0.0,763,-6.475789479030624,4.04386118768889,-6.475789479030624,False,True,False,17.0,0.039,5.586573092741226,"{""S001"": 846.9016197465805, ""S008"": 1630.8571231234214}"
O01->S001->S008->O01,S001->S008,"[""S008-MED-01"", ""S008-WAT-01"", ""S008-WAT-02""]",B,False,True,False,True,0.0,763,-6.475789479030624,4.04386118768889,-6.475789479030624,False,False,False,31.0,0.066,3.5828099704593384,"{""S001"": 828.3055180620103, ""S008"": 1576.4864930371584}"
O01->S001->S008->O01,S001->S008,"[""S008-MED-01"", ""S008-WAT-01"", ""S008-WAT-02""]",C,True,True,True,True,0.0,763,-6.475789479030624,4.04386118768889,-6.475789479030624,False,True,False,31.0,0.066,5.8660761817094444,"{""S001"": 876.9016197465805, ""S008"": 1696.8571231234214}"
O01->S001->S008->O01,S001->S008,"[""S008-FOD-01"", ""S008-HYG-01"", ""S008-MED-01"", ""S008-WAT-01"", ""S008-WAT-02""]",B,False,False,False,True,0.0,763,-6.475789479030624,4.04386118768889,-6.475789479030624,False,False,False,45.0,0.129,3.6017866166075962,"{""S001"": 888.3055180620103, ""S008"": 1696.4864930371584}"
O01->S001->S008->O01,S001->S008,"[""S008-FOD-01"", ""S008-HYG-01"", ""S008-MED-01"", ""S008-WAT-01"", ""S008-WAT-02""]",C,True,True,True,True,0.0,763,-6.475789479030624,4.04386118768889,-6.475789479030624,False,True,False,45.0,0.129,6.2877380813472055,"{""S001"": 936.9016197465805, ""S008"": 1828.8571231234214}"
O01->S001->S008->O01,S001->S008,"[""S001-MED-01"", ""S008-MED-01"", ""S008-WAT-01""]",B,True,True,True,True,0.0,763,-6.475789479030624,4.04386118768889,-6.475789479030624,False,True,False,20.0,0.051000000000000004,2.9205559692371086,"{""S001"": 858.3055180620103, ""S008"": 1576.4864930371584}"
O01->S001->S008->O01,S001->S008,"[""S001-MED-01"", ""S008-MED-01"", ""S008-WAT-01""]",C,True,True,True,True,0.0,763,-6.475789479030624,4.04386118768889,-6.475789479030624,False,True,False,20.0,0.051000000000000004,5.603758922242703,"{""S001"": 912.9016197465805, ""S008"": 1696.8571231234214}"
